id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
349241,underscore,27391,5507,27391,51,JavaScript,https://api.github.com/repos/jashkenas/underscore/languages,2009-10-25T18:31:06Z,2025-03-03T09:59:03Z
437245741,dragonfly,27361,1013,27361,231,C++,https://api.github.com/repos/dragonflydb/dragonfly/languages,2021-12-11T10:00:42Z,2025-03-03T22:55:03Z
4660742,Python-programming-exercises,27355,6869,27355,156,,https://api.github.com/repos/zhiwehu/Python-programming-exercises/languages,2012-06-14T07:56:46Z,2025-03-03T19:02:24Z
212619489,TrackersListCollection,27339,1673,27339,1,,https://api.github.com/repos/XIU2/TrackersListCollection/languages,2019-10-03T15:55:07Z,2025-03-03T16:09:05Z
38836015,aos,27313,2621,27313,371,JavaScript,https://api.github.com/repos/michalsnik/aos/languages,2015-07-09T17:49:00Z,2025-03-03T16:33:03Z
143328315,mindsdb,27274,4900,27274,155,Python,https://api.github.com/repos/mindsdb/mindsdb/languages,2018-08-02T17:56:45Z,2025-03-03T22:30:01Z
28167802,weui,27269,6391,27269,60,HTML,https://api.github.com/repos/Tencent/weui/languages,2014-12-18T04:09:54Z,2025-03-03T20:16:55Z
28387406,awesome-sysadmin,27261,1530,27261,40,,https://api.github.com/repos/awesome-foss/awesome-sysadmin/languages,2014-12-23T08:41:22Z,2025-03-03T17:42:25Z
62712899,AdGuardHome,27256,1945,27256,1072,Go,https://api.github.com/repos/AdguardTeam/AdGuardHome/languages,2016-07-06T10:31:47Z,2025-03-03T22:11:50Z
7607075,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27225,7906,27225,204,Jupyter Notebook,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/languages,2013-01-14T15:46:28Z,2025-03-03T19:13:31Z
38380854,dnSpy,27176,5209,27176,185,C#,https://api.github.com/repos/dnSpy/dnSpy/languages,2015-07-01T16:05:10Z,2025-03-03T21:40:57Z
107505869,firecracker,27159,1884,27159,87,Rust,https://api.github.com/repos/firecracker-microvm/firecracker/languages,2017-10-19T06:18:47Z,2025-03-03T22:12:47Z
765083837,MinerU,27120,2089,27120,79,Python,https://api.github.com/repos/opendatalab/MinerU/languages,2024-02-29T08:52:34Z,2025-03-03T22:26:57Z
597879,mongoose,27116,3857,27116,220,JavaScript,https://api.github.com/repos/Automattic/mongoose/languages,2010-04-06T21:39:05Z,2025-03-03T21:33:38Z
413918947,turborepo,27108,1920,27108,157,Rust,https://api.github.com/repos/vercel/turborepo/languages,2021-10-05T17:37:11Z,2025-03-03T23:15:02Z
114523184,JCSprout,27106,7075,27106,45,Java,https://api.github.com/repos/crossoverJie/JCSprout/languages,2017-12-17T09:06:50Z,2025-03-03T14:31:50Z
2206953,commander.js,27098,1702,27098,12,JavaScript,https://api.github.com/repos/tj/commander.js/languages,2011-08-14T21:33:58Z,2025-03-03T22:00:01Z
82359910,Tvlist-awesome-m3u-m3u8,27073,3235,27073,30,,https://api.github.com/repos/imDazui/Tvlist-awesome-m3u-m3u8/languages,2017-02-18T03:59:25Z,2025-03-03T12:05:41Z
77912349,Web,27063,6189,27063,74,,https://api.github.com/repos/qianguyihao/Web/languages,2017-01-03T11:44:33Z,2025-03-03T12:13:27Z
38696925,python-telegram-bot,27055,5517,27055,16,Python,https://api.github.com/repos/python-telegram-bot/python-telegram-bot/languages,2015-07-07T15:30:39Z,2025-03-03T19:11:41Z
19374812,tdesktop,27045,5400,27045,879,C++,https://api.github.com/repos/telegramdesktop/tdesktop/languages,2014-05-02T12:36:31Z,2025-03-03T18:27:24Z
335243209,anoma,27032,3794,27032,226,Elixir,https://api.github.com/repos/anoma/anoma/languages,2021-02-02T10:00:16Z,2025-03-03T22:42:00Z
161951219,wails,27024,1300,27024,270,Go,https://api.github.com/repos/wailsapp/wails/languages,2018-12-15T23:14:06Z,2025-03-03T21:40:32Z
