id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
28457823,freeCodeCamp,410681,39076,410681,273,TypeScript,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/languages,2014-12-24T17:49:19Z,2025-03-03T21:49:48Z
13491895,free-programming-books,351559,62907,351559,86,HTML,https://api.github.com/repos/EbookFoundation/free-programming-books/languages,2013-10-11T06:50:37Z,2025-03-03T22:41:41Z
21737465,awesome,349623,28629,349623,52,,https://api.github.com/repos/sindresorhus/awesome/languages,2014-07-11T13:42:37Z,2025-03-03T22:29:24Z
132750724,build-your-own-x,346556,32127,346556,356,Markdown,https://api.github.com/repos/codecrafters-io/build-your-own-x/languages,2018-05-09T12:03:18Z,2025-03-03T22:41:27Z
54346799,public-apis,328898,34874,328898,467,Python,https://api.github.com/repos/public-apis/public-apis/languages,2016-03-20T23:49:42Z,2025-03-03T22:30:44Z
60493101,coding-interview-university,312570,78046,312570,61,,https://api.github.com/repos/jwasham/coding-interview-university/languages,2016-06-06T02:34:12Z,2025-03-03T22:30:14Z
85077558,developer-roadmap,309437,40419,309437,173,TypeScript,https://api.github.com/repos/kamranahmedse/developer-roadmap/languages,2017-03-15T13:45:52Z,2025-03-03T21:52:14Z
83222441,system-design-primer,290707,48337,290707,481,Python,https://api.github.com/repos/donnemartin/system-design-primer/languages,2017-02-26T16:15:28Z,2025-03-03T22:35:09Z
177736533,996.ICU,270352,21124,270352,16697,,https://api.github.com/repos/996icu/996.ICU/languages,2019-03-26T07:31:14Z,2025-03-03T22:24:09Z
21289110,awesome-python,235870,25359,235870,442,Python,https://api.github.com/repos/vinta/awesome-python/languages,2014-06-27T21:00:06Z,2025-03-03T22:22:34Z
10270250,react,232828,47783,232828,949,JavaScript,https://api.github.com/repos/facebook/react/languages,2013-05-24T16:15:54Z,2025-03-03T22:36:36Z
88011908,project-based-learning,219497,28624,219497,207,,https://api.github.com/repos/practical-tutorials/project-based-learning/languages,2017-04-12T05:07:46Z,2025-03-03T22:40:03Z
36633370,awesome-selfhosted,218945,10310,218945,0,,https://api.github.com/repos/awesome-selfhosted/awesome-selfhosted/languages,2015-06-01T02:33:17Z,2025-03-03T22:41:44Z
11730342,vue,208426,33718,208426,603,TypeScript,https://api.github.com/repos/vuejs/vue/languages,2013-07-29T03:24:51Z,2025-03-03T18:23:07Z
