id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
11225014,etcd,48546,9889,48546,422,Go,https://api.github.com/repos/etcd-io/etcd/languages,2013-07-06T21:57:21Z,2025-03-03T19:57:22Z
9852918,Ghost,48532,10580,48532,200,JavaScript,https://api.github.com/repos/TryGhost/Ghost/languages,2013-05-04T11:09:13Z,2025-03-03T21:11:07Z
15452919,go-ethereum,48504,20637,48504,301,Go,https://api.github.com/repos/ethereum/go-ethereum/languages,2013-12-26T13:05:46Z,2025-03-03T19:42:14Z
21700699,awesome-ios,48354,6878,48354,4,Swift,https://api.github.com/repos/vsouza/awesome-ios/languages,2014-07-10T16:03:45Z,2025-03-03T22:51:12Z
31629751,cypress,48279,3260,48279,1417,TypeScript,https://api.github.com/repos/cypress-io/cypress/languages,2015-03-04T00:46:28Z,2025-03-03T19:39:31Z
172378503,powerlevel10k,48159,2254,48159,98,Shell,https://api.github.com/repos/romkatv/powerlevel10k/languages,2019-02-24T19:09:45Z,2025-03-03T21:54:49Z
1614410,FFmpeg,48128,12428,48128,3,C,https://api.github.com/repos/FFmpeg/FFmpeg/languages,2011-04-14T14:12:38Z,2025-03-03T21:20:09Z
1424470,moment,48081,7053,48081,276,JavaScript,https://api.github.com/repos/moment/moment/languages,2011-03-01T02:46:06Z,2025-03-03T21:50:08Z
7508411,RxJava,48031,7604,48031,13,Java,https://api.github.com/repos/ReactiveX/RxJava/languages,2013-01-08T20:11:48Z,2025-03-03T10:18:54Z
46629305,hacker-scripts,48031,6651,48031,69,JavaScript,https://api.github.com/repos/NARKOZ/hacker-scripts/languages,2015-11-21T19:05:09Z,2025-03-03T20:18:06Z
79162682,joplin,47961,5205,47961,503,TypeScript,https://api.github.com/repos/laurent22/joplin/languages,2017-01-16T21:49:41Z,2025-03-03T22:36:46Z
52281283,mastodon,47854,7113,47854,4091,Ruby,https://api.github.com/repos/mastodon/mastodon/languages,2016-02-22T15:01:25Z,2025-03-03T17:00:39Z
85031442,hiring-without-whiteboards,47613,3712,47613,18,JavaScript,https://api.github.com/repos/poteto/hiring-without-whiteboards/languages,2017-03-15T05:09:01Z,2025-03-03T23:04:33Z
128907699,dayjs,47504,2332,47504,1081,JavaScript,https://api.github.com/repos/iamkun/dayjs/languages,2018-04-10T09:26:44Z,2025-03-03T16:00:04Z
180190854,appwrite,47480,4215,47480,749,TypeScript,https://api.github.com/repos/appwrite/appwrite/languages,2019-04-08T16:36:25Z,2025-03-03T23:11:14Z
655099582,llm-course,47384,5031,47384,62,Jupyter Notebook,https://api.github.com/repos/mlabonne/llm-course/languages,2023-06-17T22:16:25Z,2025-03-03T22:41:25Z
45723377,professional-programming,47377,3755,47377,1,Python,https://api.github.com/repos/charlax/professional-programming/languages,2015-11-07T05:07:52Z,2025-03-03T19:58:31Z
