id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
1064563,netty,33847,16027,33847,633,Java,https://api.github.com/repos/netty/netty/languages,2010-11-09T09:22:21Z,2025-03-03T20:05:54Z
797345627,docs,33832,346,33832,17,MDX,https://api.github.com/repos/inkonchain/docs/languages,2024-05-07T16:49:36Z,2025-03-03T22:31:41Z
21552971,awesome-shell,33832,2392,33832,109,,https://api.github.com/repos/alebcay/awesome-shell/languages,2014-07-07T01:57:42Z,2025-03-03T21:34:07Z
6007295,jieba,33769,6728,33769,680,Python,https://api.github.com/repos/fxsjy/jieba/languages,2012-09-29T07:52:01Z,2025-03-03T17:14:37Z
99761907,react-beautiful-dnd,33705,2670,33705,643,JavaScript,https://api.github.com/repos/atlassian/react-beautiful-dnd/languages,2017-08-09T03:37:15Z,2025-03-03T19:46:00Z
883252811,ink-kit,33678,335,33678,2,TypeScript,https://api.github.com/repos/inkonchain/ink-kit/languages,2024-11-04T16:32:17Z,2025-03-03T22:31:41Z
4086616,shadowsocks,33604,18534,33604,449,Python,https://api.github.com/repos/shadowsocks/shadowsocks/languages,2012-04-20T13:10:49Z,2025-03-02T12:40:14Z
64558143,AndroidUtilCode,33474,10707,33474,317,Java,https://api.github.com/repos/Blankj/AndroidUtilCode/languages,2016-07-30T18:18:32Z,2025-03-03T20:48:00Z
4793392,sqlmap,33449,5804,33449,66,Python,https://api.github.com/repos/sqlmapproject/sqlmap/languages,2012-06-26T09:52:15Z,2025-03-03T18:53:37Z
110211147,spring-boot-demo,33440,10945,33440,138,Java,https://api.github.com/repos/xkcoding/spring-boot-demo/languages,2017-11-10T06:27:29Z,2025-03-03T15:37:37Z
81227005,faiss,33391,3777,33391,264,C++,https://api.github.com/repos/facebookresearch/faiss/languages,2017-02-07T16:07:05Z,2025-03-03T21:10:39Z
97533102,LeetCode-Go,33369,5757,33369,20,Go,https://api.github.com/repos/halfrost/LeetCode-Go/languages,2017-07-18T00:06:14Z,2025-03-03T21:16:42Z
1828795,AFNetworking,33354,10443,33354,103,Objective-C,https://api.github.com/repos/AFNetworking/AFNetworking/languages,2011-05-31T21:28:44Z,2025-03-03T20:53:52Z
168799526,pytorch-image-models,33343,4857,33343,70,Python,https://api.github.com/repos/huggingface/pytorch-image-models/languages,2019-02-02T05:51:12Z,2025-03-03T22:22:32Z
743140652,windows,33343,2325,33343,23,Shell,https://api.github.com/repos/dockur/windows/languages,2024-01-14T13:09:40Z,2025-03-03T22:59:34Z
7548986,framework,33250,11239,33250,65,PHP,https://api.github.com/repos/laravel/framework/languages,2013-01-10T21:27:28Z,2025-03-03T19:43:46Z
2935735,brackets,33238,7609,33238,2783,JavaScript,https://api.github.com/repos/adobe/brackets/languages,2011-12-07T21:14:40Z,2025-03-03T19:36:51Z
725205304,unsloth,33194,2235,33194,838,Python,https://api.github.com/repos/unslothai/unsloth/languages,2023-11-29T16:50:09Z,2025-03-03T22:53:24Z
29290473,XX-Net,33176,7673,33176,7903,Python,https://api.github.com/repos/XX-net/XX-Net/languages,2015-01-15T09:35:51Z,2025-03-03T06:09:18Z
21125024,husky,33168,1046,33168,76,JavaScript,https://api.github.com/repos/typicode/husky/languages,2014-06-23T12:14:21Z,2025-03-03T19:29:18Z
120395176,easyexcel,33149,7614,33149,541,Java,https://api.github.com/repos/alibaba/easyexcel/languages,2018-02-06T03:14:08Z,2025-03-03T20:05:56Z
149001365,leetcode,33145,8566,33145,15,Java,https://api.github.com/repos/doocs/leetcode/languages,2018-09-16T14:03:03Z,2025-03-03T22:37:08Z
69495170,fastify,33137,2360,33137,94,JavaScript,https://api.github.com/repos/fastify/fastify/languages,2016-09-28T19:10:14Z,2025-03-03T21:47:39Z
2562751,zxing,33110,9384,33110,15,Java,https://api.github.com/repos/zxing/zxing/languages,2011-10-12T14:07:27Z,2025-03-03T21:29:12Z
130884470,solid,33101,952,33101,121,TypeScript,https://api.github.com/repos/solidjs/solid/languages,2018-04-24T16:36:27Z,2025-03-03T22:19:52Z
11167738,gulp,33096,4225,33096,34,JavaScript,https://api.github.com/repos/gulpjs/gulp/languages,2013-07-04T05:26:06Z,2025-03-03T15:11:46Z
109484365,Coursera-ML-AndrewNg-Notes,33087,10787,33087,67,HTML,https://api.github.com/repos/fengdu78/Coursera-ML-AndrewNg-Notes/languages,2017-11-04T10:04:08Z,2025-03-03T19:42:16Z
41889031,NewPipe,33083,3148,33083,1197,Java,https://api.github.com/repos/TeamNewPipe/NewPipe/languages,2015-09-03T23:39:26Z,2025-03-03T21:43:38Z
624681066,AgentGPT,33052,9355,33052,204,TypeScript,https://api.github.com/repos/reworkd/AgentGPT/languages,2023-04-07T02:29:19Z,2025-03-03T21:02:03Z
21413198,immutable-js,33022,1780,33022,126,TypeScript,https://api.github.com/repos/immutable-js/immutable-js/languages,2014-07-02T06:02:29Z,2025-03-03T20:47:11Z
808045485,ladybird,32971,1375,32971,420,C++,https://api.github.com/repos/LadybirdBrowser/ladybird/languages,2024-05-30T09:18:10Z,2025-03-03T23:15:12Z
327089870,payload,32918,2160,32918,479,TypeScript,https://api.github.com/repos/payloadcms/payload/languages,2021-01-05T18:49:45Z,2025-03-03T23:03:29Z
97086543,JavaScript,32907,5659,32907,118,JavaScript,https://api.github.com/repos/TheAlgorithms/JavaScript/languages,2017-07-13T06:12:33Z,2025-03-03T21:52:40Z
73561650,linux-command,32884,6286,32884,79,Markdown,https://api.github.com/repos/jaywcjlove/linux-command/languages,2016-11-12T15:44:26Z,2025-03-03T22:03:23Z
208728772,milvus,32872,3051,32872,704,Go,https://api.github.com/repos/milvus-io/milvus/languages,2019-09-16T06:43:43Z,2025-03-03T22:47:16Z
10446890,ijkplayer,32762,8160,32762,2880,C,https://api.github.com/repos/bilibili/ijkplayer/languages,2013-06-03T04:12:04Z,2025-03-03T22:38:51Z
187961907,legado,32744,4174,32744,89,Kotlin,https://api.github.com/repos/gedoor/legado/languages,2019-05-22T04:18:58Z,2025-03-03T22:25:16Z
568098118,plane,32724,1984,32724,439,TypeScript,https://api.github.com/repos/makeplane/plane/languages,2022-11-19T12:55:01Z,2025-03-03T22:50:52Z
123303402,poetry,32703,2329,32703,526,Python,https://api.github.com/repos/python-poetry/poetry/languages,2018-02-28T15:23:47Z,2025-03-03T21:31:17Z
610260322,chatbox,32697,3104,32697,602,TypeScript,https://api.github.com/repos/Bin-Huang/chatbox/languages,2023-03-06T12:22:15Z,2025-03-03T21:40:54Z
824874689,cline,32660,3181,32660,432,TypeScript,https://api.github.com/repos/cline/cline/languages,2024-07-06T07:28:10Z,2025-03-03T23:01:18Z
60844036,ShadowsocksX-NG,32652,7936,32652,312,Swift,https://api.github.com/repos/shadowsocks/ShadowsocksX-NG/languages,2016-06-10T11:49:00Z,2025-03-03T14:52:33Z
259463685,carbon-lang,32649,1486,32649,133,C++,https://api.github.com/repos/carbon-language/carbon-lang/languages,2020-04-27T21:45:16Z,2025-03-03T22:40:57Z
