id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
162723104,CheatSheetSeries,28987,4053,28987,52,Python,https://api.github.com/repos/OWASP/CheatSheetSeries/languages,2018-12-21T14:26:43Z,2025-03-03T21:01:31Z
85541218,weekly,28974,3255,28974,2,JavaScript,https://api.github.com/repos/ascoders/weekly/languages,2017-03-20T06:10:04Z,2025-03-03T14:05:36Z
50447720,swift-algorithm-club,28971,5000,28971,61,Swift,https://api.github.com/repos/kodecocodes/swift-algorithm-club/languages,2016-01-26T17:56:12Z,2025-03-03T20:47:48Z
908607,numpy,28955,10521,28955,2214,Python,https://api.github.com/repos/numpy/numpy/languages,2010-09-13T23:02:39Z,2025-03-03T22:56:25Z
344191198,Data-Science-For-Beginners,28943,5989,28943,57,Jupyter Notebook,https://api.github.com/repos/microsoft/Data-Science-For-Beginners/languages,2021-03-03T16:30:15Z,2025-03-03T21:34:43Z
135516270,k3s,28932,2393,28932,138,Go,https://api.github.com/repos/k3s-io/k3s/languages,2018-05-31T01:37:46Z,2025-03-03T22:37:19Z
1431547,django-rest-framework,28867,6900,28867,98,Python,https://api.github.com/repos/encode/django-rest-framework/languages,2011-03-02T17:13:56Z,2025-03-03T22:36:15Z
7587038,canal,28861,7640,28861,1158,Java,https://api.github.com/repos/alibaba/canal/languages,2013-01-13T10:59:52Z,2025-03-03T20:10:54Z
74260508,docsify,28860,5717,28860,185,JavaScript,https://api.github.com/repos/docsifyjs/docsify/languages,2016-11-20T07:55:43Z,2025-03-03T14:40:58Z
107286889,croc,28858,1144,28858,7,Go,https://api.github.com/repos/schollz/croc/languages,2017-10-17T15:20:18Z,2025-03-03T22:55:11Z
1864363,composer,28857,4600,28857,126,PHP,https://api.github.com/repos/composer/composer/languages,2011-06-08T08:53:00Z,2025-03-03T19:31:37Z
41592744,css-protips,28832,2183,28832,12,,https://api.github.com/repos/AllThingsSmitty/css-protips/languages,2015-08-29T12:29:03Z,2025-03-03T14:05:37Z
511987144,cobalt,28824,2350,28824,152,Svelte,https://api.github.com/repos/imputnet/cobalt/languages,2022-07-08T18:12:55Z,2025-03-03T22:11:32Z
436658287,surrealdb,28813,964,28813,736,Rust,https://api.github.com/repos/surrealdb/surrealdb/languages,2021-12-09T15:03:29Z,2025-03-03T22:53:33Z
191820100,mediapipe,28799,5261,28799,522,C++,https://api.github.com/repos/google-ai-edge/mediapipe/languages,2019-06-13T19:16:41Z,2025-03-03T20:43:14Z
122734569,lux,28783,3081,28783,514,Go,https://api.github.com/repos/iawia002/lux/languages,2018-02-24T11:29:03Z,2025-03-03T20:24:50Z
4279682,fish-shell,28778,2005,28778,460,Rust,https://api.github.com/repos/fish-shell/fish-shell/languages,2012-05-10T03:00:55Z,2025-03-03T22:49:49Z
167596393,k9s,28775,1806,28775,650,Go,https://api.github.com/repos/derailed/k9s/languages,2019-01-25T18:46:02Z,2025-03-03T21:17:15Z
410430370,CasaOS,28773,1559,28773,606,Go,https://api.github.com/repos/IceWhaleTech/CasaOS/languages,2021-09-26T02:33:09Z,2025-03-03T23:07:05Z
60243197,server,28760,4194,28760,2583,PHP,https://api.github.com/repos/nextcloud/server/languages,2016-06-02T07:44:14Z,2025-03-03T19:57:22Z
53370988,lighthouse,28750,9475,28750,608,JavaScript,https://api.github.com/repos/GoogleChrome/lighthouse/languages,2016-03-08T01:03:11Z,2025-03-03T20:06:49Z
14125254,consul,28741,4448,28741,1290,Go,https://api.github.com/repos/hashicorp/consul/languages,2013-11-04T22:15:27Z,2025-03-03T19:20:57Z
1844251,todomvc,28735,13760,28735,166,JavaScript,https://api.github.com/repos/tastejs/todomvc/languages,2011-06-03T19:56:33Z,2025-03-03T19:53:18Z
520969009,Hello-Python,28733,1864,28733,49,Python,https://api.github.com/repos/mouredev/Hello-Python/languages,2022-08-03T17:14:53Z,2025-03-03T23:15:14Z
1481305,python-guide,28708,5860,28708,114,Batchfile,https://api.github.com/repos/realpython/python-guide/languages,2011-03-15T03:24:20Z,2025-03-03T21:52:51Z
13078968,postcss,28675,1573,28675,26,TypeScript,https://api.github.com/repos/postcss/postcss/languages,2013-09-24T23:06:48Z,2025-03-03T22:13:22Z
131789494,SpringAll,28628,8178,28628,34,Java,https://api.github.com/repos/wuyouzhuguli/SpringAll/languages,2018-05-02T02:48:44Z,2025-03-03T15:37:19Z
18049133,slick,28607,5876,28607,1403,JavaScript,https://api.github.com/repos/kenwheeler/slick/languages,2014-03-24T02:10:05Z,2025-03-03T05:54:28Z
196760810,linkedin-skill-assessments-quizzes,28588,13252,28588,84,,https://api.github.com/repos/Ebazhanov/linkedin-skill-assessments-quizzes/languages,2019-07-13T19:52:56Z,2025-03-03T19:58:30Z
638629097,aider,28509,2588,28509,644,Python,https://api.github.com/repos/Aider-AI/aider/languages,2023-05-09T18:57:49Z,2025-03-03T23:14:29Z
124257233,react-spring,28509,1200,28509,117,TypeScript,https://api.github.com/repos/pmndrs/react-spring/languages,2018-03-07T15:39:32Z,2025-03-03T16:28:53Z
164554832,handson-ml2,28482,12924,28482,226,Jupyter Notebook,https://api.github.com/repos/ageron/handson-ml2/languages,2019-01-08T03:49:07Z,2025-03-03T20:48:10Z
39176269,vuex,28458,9561,28458,144,JavaScript,https://api.github.com/repos/vuejs/vuex/languages,2015-07-16T04:21:26Z,2025-03-03T17:57:29Z
284008087,Free-Certifications,28443,2103,28443,42,,https://api.github.com/repos/cloudcommunity/Free-Certifications/languages,2020-07-31T10:26:19Z,2025-03-03T22:14:41Z
772699441,llama3,28428,3297,28428,204,Python,https://api.github.com/repos/meta-llama/llama3/languages,2024-03-15T17:57:00Z,2025-03-03T20:01:26Z
70431106,machine-learning-for-software-engineers,28381,6223,28381,31,,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers/languages,2016-10-09T21:20:25Z,2025-03-03T13:31:28Z
181042062,UTM,28380,1410,28380,904,Swift,https://api.github.com/repos/utmapp/UTM/languages,2019-04-12T16:09:24Z,2025-03-03T23:12:40Z
47023603,xxl-job,28375,11091,28375,826,Java,https://api.github.com/repos/xuxueli/xxl-job/languages,2015-11-28T12:59:34Z,2025-03-03T22:13:05Z
30794868,plyr,28369,3050,28369,916,JavaScript,https://api.github.com/repos/sampotts/plyr/languages,2015-02-14T11:33:07Z,2025-03-03T19:07:54Z
10788737,android_guides,28357,6336,28357,162,,https://api.github.com/repos/codepath/android_guides/languages,2013-06-19T10:24:45Z,2025-03-03T14:43:44Z
317836248,Clone-Wars,28351,2519,28351,20,,https://api.github.com/repos/GorvGoyl/Clone-Wars/languages,2020-12-02T11:10:16Z,2025-03-03T15:52:06Z
172521926,react-three-fiber,28292,1652,28292,67,TypeScript,https://api.github.com/repos/pmndrs/react-three-fiber/languages,2019-02-25T14:31:51Z,2025-03-03T19:31:43Z
112785414,spring-cloud-alibaba,28265,8371,28265,277,Java,https://api.github.com/repos/alibaba/spring-cloud-alibaba/languages,2017-12-01T20:49:15Z,2025-03-03T18:03:58Z
698041,async,28233,2406,28233,10,JavaScript,https://api.github.com/repos/caolan/async/languages,2010-06-01T21:01:30Z,2025-03-03T18:45:44Z
92111509,trilium,28183,1918,28183,908,JavaScript,https://api.github.com/repos/zadam/trilium/languages,2017-05-23T00:30:20Z,2025-03-03T19:59:55Z
305144746,tinygrad,28179,3216,28179,167,Python,https://api.github.com/repos/tinygrad/tinygrad/languages,2020-10-18T16:23:12Z,2025-03-03T22:27:03Z
75867720,JavaScript30,28157,38880,28157,58,HTML,https://api.github.com/repos/wesbos/JavaScript30/languages,2016-12-07T19:15:31Z,2025-03-03T15:29:22Z
612781022,cursor,28153,1753,28153,1435,,https://api.github.com/repos/getcursor/cursor/languages,2023-03-12T00:19:42Z,2025-03-03T22:18:21Z
411493648,DevToys,28140,1505,28140,234,C#,https://api.github.com/repos/DevToys-app/DevToys/languages,2021-09-29T01:40:41Z,2025-03-03T19:37:27Z
53639099,the-super-tiny-compiler,28132,2866,28132,17,JavaScript,https://api.github.com/repos/jamiebuilds/the-super-tiny-compiler/languages,2016-03-11T04:19:18Z,2025-03-03T13:58:23Z
115720575,immer,28125,856,28125,54,JavaScript,https://api.github.com/repos/immerjs/immer/languages,2017-12-29T12:25:47Z,2025-03-03T08:16:56Z
952189,backbone,28101,5369,28101,59,JavaScript,https://api.github.com/repos/jashkenas/backbone/languages,2010-09-30T19:41:28Z,2025-03-03T19:29:32Z
