id,name,stars,forks,watchers,open_issues,primary_language,languages_url,created_at,updated_at
3955647,lodash,60194,7061,60194,89,JavaScript,https://api.github.com/repos/lodash/lodash/languages,2012-04-07T04:11:46Z,2025-03-03T16:28:41Z
128398636,architect-awesome,60038,17807,60038,66,,https://api.github.com/repos/xingshaocheng/architect-awesome/languages,2018-04-06T13:30:58Z,2025-03-03T20:48:33Z
261787758,design-resources-for-developers,60037,11653,60037,0,,https://api.github.com/repos/bradtraversy/design-resources-for-developers/languages,2020-05-06T14:40:35Z,2025-03-03T21:08:58Z
3402537,Front-end-Developer-Interview-Questions,60021,11078,60021,42,Nunjucks,https://api.github.com/repos/h5bp/Front-end-Developer-Interview-Questions/languages,2012-02-09T23:34:10Z,2025-03-03T21:13:58Z
4311796,markdown-here,59822,11228,59822,320,JavaScript,https://api.github.com/repos/adam-p/markdown-here/languages,2012-05-13T03:27:22Z,2025-03-03T20:46:38Z
21737266,awesome-nodejs,59769,5895,59769,18,,https://api.github.com/repos/sindresorhus/awesome-nodejs/languages,2014-07-11T13:35:34Z,2025-03-03T22:12:05Z
455229168,immich,59659,3145,59659,493,TypeScript,https://api.github.com/repos/immich-app/immich/languages,2022-02-03T15:56:27Z,2025-03-03T22:57:10Z
167174,jquery,59422,20578,59422,90,JavaScript,https://api.github.com/repos/jquery/jquery/languages,2009-04-03T15:20:14Z,2025-03-03T15:16:44Z
26689598,awesome-courses,59230,8184,59230,56,,https://api.github.com/repos/prakhar1989/awesome-courses/languages,2014-11-15T18:36:49Z,2025-03-03T18:53:41Z
54544023,new-pac,59049,9764,59049,421,Python,https://api.github.com/repos/Alvin9999/new-pac/languages,2016-03-23T08:43:36Z,2025-03-03T22:56:00Z
290091948,annotated_deep_learning_paper_implementations,58911,5985,58911,34,Python,https://api.github.com/repos/labmlai/annotated_deep_learning_paper_implementations/languages,2020-08-25T02:29:34Z,2025-03-03T17:09:50Z
460078,angular.js,58748,27434,58748,463,JavaScript,https://api.github.com/repos/angular/angular.js/languages,2010-01-06T00:34:37Z,2025-03-03T18:17:34Z
7600409,shadowsocks-windows,58636,16370,58636,190,C#,https://api.github.com/repos/shadowsocks/shadowsocks-windows/languages,2013-01-14T07:54:16Z,2025-03-03T19:54:01Z
94911145,docusaurus,58583,8835,58583,334,TypeScript,https://api.github.com/repos/facebook/docusaurus/languages,2017-06-20T16:13:53Z,2025-03-03T22:40:05Z
666299222,open-interpreter,58526,4997,58526,247,Python,https://api.github.com/repos/OpenInterpreter/open-interpreter/languages,2023-07-14T07:10:44Z,2025-03-03T21:10:58Z
578822531,localsend,58361,3132,58361,601,Dart,https://api.github.com/repos/localsend/localsend/languages,2022-12-16T00:46:07Z,2025-03-03T22:44:21Z
163883279,act,58159,1471,58159,213,Go,https://api.github.com/repos/nektos/act/languages,2019-01-02T19:53:43Z,2025-03-03T22:19:42Z
71948498,localstack,57881,4089,57881,326,Python,https://api.github.com/repos/localstack/localstack/languages,2016-10-25T23:48:03Z,2025-03-03T22:41:19Z
51980455,alacritty,57844,3075,57844,329,Rust,https://api.github.com/repos/alacritty/alacritty/languages,2016-02-18T05:02:30Z,2025-03-03T22:16:43Z
601538369,llama,57781,9715,57781,471,Python,https://api.github.com/repos/meta-llama/llama/languages,2023-02-14T09:29:12Z,2025-03-03T21:09:15Z
290882787,fuel-core,57774,2836,57774,177,Rust,https://api.github.com/repos/FuelLabs/fuel-core/languages,2020-08-27T21:12:14Z,2025-03-03T21:49:16Z
6838921,prometheus,57479,9390,57479,756,Go,https://api.github.com/repos/prometheus/prometheus/languages,2012-11-24T11:14:12Z,2025-03-03T19:52:59Z
1148753,spring-framework,57457,38390,57457,282,Java,https://api.github.com/repos/spring-projects/spring-framework/languages,2010-12-08T04:04:45Z,2025-03-03T20:46:33Z
134017286,lazygit,57310,1971,57310,804,Go,https://api.github.com/repos/jesseduffield/lazygit/languages,2018-05-19T00:53:06Z,2025-03-03T20:39:37Z
643445235,lobe-chat,56836,12104,56836,616,TypeScript,https://api.github.com/repos/lobehub/lobe-chat/languages,2023-05-21T07:19:12Z,2025-03-03T21:55:22Z
486550,html5-boilerplate,56807,12266,56807,17,JavaScript,https://api.github.com/repos/h5bp/html5-boilerplate/languages,2010-01-24T18:03:24Z,2025-03-03T19:43:47Z
42489829,rustlings,56687,10450,56687,52,Rust,https://api.github.com/repos/rust-lang/rustlings/languages,2015-09-15T02:25:18Z,2025-03-03T22:40:36Z
27574418,nerd-fonts,56613,3709,56613,20,CSS,https://api.github.com/repos/ryanoasis/nerd-fonts/languages,2014-12-05T04:31:17Z,2025-03-03T20:32:51Z
8514,rails,56535,21795,56535,1284,Ruby,https://api.github.com/repos/rails/rails/languages,2008-04-11T02:19:47Z,2025-03-03T22:26:03Z
71995937,nuxt,56310,5159,56310,900,TypeScript,https://api.github.com/repos/nuxt/nuxt/languages,2016-10-26T11:18:47Z,2025-03-03T21:28:14Z
36040894,gatsby,55761,10294,55761,407,JavaScript,https://api.github.com/repos/gatsbyjs/gatsby/languages,2015-05-21T22:43:05Z,2025-03-03T11:09:18Z
138839979,DeepLearning-500-questions,55486,15942,55486,120,JavaScript,https://api.github.com/repos/scutan90/DeepLearning-500-questions/languages,2018-06-27T06:36:45Z,2025-03-03T20:05:13Z
635240594,private-gpt,55345,7420,55345,260,Python,https://api.github.com/repos/zylon-ai/private-gpt/languages,2023-05-02T09:15:31Z,2025-03-03T22:48:44Z
5483330,you-get,55200,9723,55200,383,Python,https://api.github.com/repos/soimort/you-get/languages,2012-08-20T15:53:36Z,2025-03-03T20:55:51Z
127407957,leetcode,55100,9477,55100,11,JavaScript,https://api.github.com/repos/azl397985856/leetcode/languages,2018-03-30T09:13:51Z,2025-03-03T15:54:33Z
173228436,ghidra,55048,6172,55048,1710,Java,https://api.github.com/repos/NationalSecurityAgency/ghidra/languages,2019-03-01T03:27:48Z,2025-03-03T22:09:24Z
340547520,zed,55012,3635,55012,2911,Rust,https://api.github.com/repos/zed-industries/zed/languages,2021-02-20T03:01:06Z,2025-03-03T22:55:12Z
90528830,awesome-flutter,54958,6726,54958,24,Dart,https://api.github.com/repos/Solido/awesome-flutter/languages,2017-05-07T11:45:27Z,2025-03-03T17:38:38Z
529502,scrapy,54411,10682,54411,619,Python,https://api.github.com/repos/scrapy/scrapy/languages,2010-02-22T02:01:14Z,2025-03-03T21:13:34Z
577116112,awesome-chatgpt-prompts-zh,54396,13584,54396,41,,https://api.github.com/repos/PlexPt/awesome-chatgpt-prompts-zh/languages,2022-12-12T01:55:03Z,2025-03-03T21:55:49Z
228016443,leetcode-master,54355,11850,54355,216,Shell,https://api.github.com/repos/youngyangyang04/leetcode-master/languages,2019-12-14T12:05:42Z,2025-03-03T20:56:16Z
83844720,face_recognition,54252,13559,54252,796,Python,https://api.github.com/repos/ageitgey/face_recognition/languages,2017-03-03T21:52:39Z,2025-03-03T17:06:56Z
67274736,element,54192,14640,54192,2886,Vue,https://api.github.com/repos/ElemeFE/element/languages,2016-09-03T06:19:26Z,2025-03-03T02:46:46Z
19872456,react-router,54189,10472,54189,269,TypeScript,https://api.github.com/repos/remix-run/react-router/languages,2014-05-16T22:22:51Z,2025-03-03T22:55:58Z
