name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
rxjs,31059,3009,31059,270,TypeScript,"['TypeScript', 'JavaScript', 'SCSS', 'HTML', 'Shell', 'Dockerfile']",2015-03-15T06:17:10Z,2025-03-03T14:51:15Z
remote-jobs,31054,3266,31054,42,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Shell', 'Dockerfile']",2015-10-13T03:49:25Z,2025-03-03T20:47:41Z
spaCy,31042,4453,31042,186,Python,"['Python', 'MDX', 'Cython', 'JavaScript', 'Sass', 'TypeScript', 'Jinja', 'C', 'HTML', 'Makefile', 'Shell', 'Dockerfile', 'C++']",2014-07-03T15:15:40Z,2025-03-03T15:16:25Z
html2canvas,31030,4847,31030,1018,TypeScript,"['TypeScript', 'HTML', 'JavaScript', 'CSS']",2011-07-16T01:05:58Z,2025-03-03T10:21:51Z
ShareX,31000,3272,31000,586,C#,"['C#', 'Inno Setup', 'CSS', 'HTML']",2013-10-08T23:32:10Z,2025-03-03T19:55:42Z
HowToLiveLonger,30996,2156,30996,28,,[],2022-04-16T04:15:18Z,2025-03-03T10:31:46Z
MS-DOS,30981,4431,30981,3,Assembly,"['Assembly', 'C', 'Pascal', 'SourcePawn', 'C++', 'POV-Ray SDL', 'Makefile', 'Prolog', 'Batchfile', 'NASL', 'HTML', 'BitBake']",2018-06-25T18:26:02Z,2025-03-03T20:22:29Z
aseprite,30979,6738,30979,1718,C++,"['C++', 'Lua', 'Shell', 'CMake', 'C', 'Objective-C++', 'PowerShell', 'Batchfile']",2014-08-19T23:44:50Z,2025-03-03T20:54:57Z
jQuery-File-Upload,30946,7915,30946,52,PHP,"['PHP', 'JavaScript', 'HTML', 'Python', 'CSS', 'Dockerfile']",2010-12-01T15:35:32Z,2025-03-03T20:46:25Z
lottie-web,30929,2899,30929,817,JavaScript,"['JavaScript', 'HTML']",2015-02-20T21:02:59Z,2025-03-03T19:56:00Z
nacos,30924,12964,30924,243,Java,"['Java', 'SCSS', 'JavaScript', 'Shell', 'Batchfile', 'TypeScript', 'EJS']",2018-06-15T06:49:27Z,2025-03-03T21:05:59Z
pnpm,30913,1068,30913,1790,TypeScript,"['TypeScript', 'JavaScript', 'Shell', 'Batchfile']",2016-01-28T07:40:43Z,2025-03-03T21:25:14Z
Blog,30905,4697,30905,242,,[],2017-03-13T10:04:33Z,2025-03-03T06:19:28Z
pytorch-tutorial,30888,8178,30888,87,Python,"['Python', 'Shell']",2017-03-10T07:41:47Z,2025-03-03T19:32:00Z
remix,30836,2600,30836,360,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'Arc']",2020-10-26T19:57:28Z,2025-03-03T21:03:11Z
LocalAI,30782,2323,30782,426,Go,"['Go', 'Python', 'JavaScript', 'C++', 'HTML', 'Makefile', 'Shell', 'Dockerfile', 'CSS', 'CMake', 'C', 'Earthly']",2023-03-18T22:58:02Z,2025-03-03T21:50:36Z
outline,30775,2439,30775,118,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'Dockerfile', 'Makefile', 'Procfile', 'Shell']",2016-05-22T21:31:47Z,2025-03-03T20:55:57Z
floating-ui,30754,1629,30754,40,TypeScript,"['TypeScript', 'MDX', 'JavaScript', 'CSS', 'HTML', 'Vue']",2016-03-29T17:00:47Z,2025-03-03T20:36:02Z
etcher,30737,2177,30737,524,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'HTML']",2015-10-27T16:53:23Z,2025-03-03T21:30:12Z
full-stack-fastapi-template,30709,5621,30709,185,TypeScript,"['TypeScript', 'Python', 'HTML', 'Shell', 'Dockerfile', 'Mako', 'Jinja']",2019-02-23T15:08:34Z,2025-03-03T21:22:58Z
WxJava,30637,8785,30637,36,Java,"['Java', 'Shell']",2016-01-06T08:24:05Z,2025-03-03T20:05:56Z
dotfiles,30613,8725,30613,192,Shell,"['Shell', 'Vim Script', 'GDB']",2011-09-05T18:07:54Z,2025-03-03T20:11:55Z
winutil,30607,1741,30607,198,PowerShell,"['PowerShell', 'HTML']",2022-04-28T02:25:19Z,2025-03-03T20:54:55Z
p3c,30582,8060,30582,187,Kotlin,"['Kotlin', 'Java', 'FreeMarker', 'CSS']",2017-06-23T06:15:51Z,2025-03-03T16:07:01Z
cockroach,30564,3860,30564,6978,Go,"['Go', 'TypeScript', 'Starlark', 'Shell', 'Yacc', 'Tcl', 'SCSS', 'C', 'Stylus', 'C++', 'JavaScript', 'HCL', 'Python', 'Ruby', 'HTML', 'Vim Script', 'Dockerfile', 'Awk', 'Makefile', 'Assembly', 'CSS']",2014-02-06T00:18:47Z,2025-03-03T21:32:29Z
echo,30548,2255,30548,83,Go,"['Go', 'Makefile', 'HTML']",2015-03-01T17:43:01Z,2025-03-03T18:48:33Z
v2ray-core,30526,4753,30526,44,Go,"['Go', 'Shell', 'Assembly', 'Dockerfile', 'Makefile', 'HTML']",2019-04-15T10:05:54Z,2025-03-03T19:59:01Z
libpku,30525,8250,30525,14,TeX,"['TeX', 'JavaScript']",2018-11-22T13:33:06Z,2025-03-03T18:53:33Z
CyberChef,30466,3393,30466,509,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Dockerfile']",2016-11-28T10:34:07Z,2025-03-03T21:49:28Z
slate,30440,3282,30440,687,TypeScript,"['TypeScript', 'JavaScript', 'CSS']",2016-06-18T01:52:42Z,2025-03-03T17:02:32Z
rufus,30430,2689,30430,9,C,"['C', 'C++', 'Makefile', 'C#', 'Shell', 'Assembly', 'PowerShell', 'Batchfile', 'Python', 'M4', 'sed']",2011-11-19T19:12:05Z,2025-03-03T21:48:55Z
YesPlayMusic,30425,4466,30425,600,Vue,"['Vue', 'JavaScript', 'CSS', 'SCSS', 'Nix', 'Shell', 'Dockerfile', 'HTML']",2020-10-09T10:04:21Z,2025-03-03T19:57:21Z
mmdetection,30413,9568,30413,1880,Python,"['Python', 'Shell', 'Dockerfile']",2018-08-22T07:06:06Z,2025-03-03T19:13:35Z
spring-boot-examples,30399,12341,30399,15,Java,"['Java', 'HTML', 'Dockerfile', 'CSS']",2016-11-05T05:32:33Z,2025-03-03T20:48:06Z
lede,30397,19577,30397,748,C,"['C', 'Makefile', 'Roff', 'Shell', 'Perl', 'Pascal', 'HTML', 'Lua', 'Python', 'C++', 'M4', 'Assembly', 'Yacc', 'Lex', 'Awk', 'CMake', 'Batchfile']",2017-09-06T07:39:03Z,2025-03-03T21:34:19Z
linux-insides,30381,3380,30381,43,Python,"['Python', 'Makefile', 'Shell', 'Dockerfile']",2015-01-03T18:44:57Z,2025-03-03T14:13:58Z
NeteaseCloudMusicApi,30310,15815,30310,147,,[],2016-06-22T11:58:03Z,2025-03-03T08:47:33Z
manim,30306,2123,30306,492,Python,"['Python', 'GLSL', 'Dockerfile', 'Jupyter Notebook', 'TeX']",2020-05-19T02:37:13Z,2025-03-03T21:28:30Z
chatbot-ui,30292,8436,30292,201,TypeScript,"['TypeScript', 'PLpgSQL', 'JavaScript', 'CSS', 'Shell']",2023-03-11T14:53:14Z,2025-03-03T21:11:43Z
tabby,30218,1389,30218,228,Rust,"['Rust', 'Python', 'HTML', 'TypeScript', 'Scheme', 'Shell', 'Makefile', 'JavaScript', 'PowerShell', 'RenderScript']",2023-03-16T09:18:01Z,2025-03-03T21:51:28Z
awesome-cto,30141,1834,30141,9,,[],2016-12-16T19:22:18Z,2025-03-03T17:49:49Z
Sortable,30114,3720,30114,490,JavaScript,"['JavaScript', 'HTML', 'CSS']",2013-12-19T10:10:13Z,2025-03-03T18:53:34Z
qBittorrent,30095,4125,30095,2828,C++,"['C++', 'JavaScript', 'HTML', 'CSS', 'Python', 'CMake', 'C', 'Objective-C++', 'Objective-C', 'Shell']",2012-02-04T09:37:46Z,2025-03-03T21:02:10Z
Umi-OCR,30091,3014,30091,183,Python,"['Python', 'QML']",2022-03-28T04:01:46Z,2025-03-03T18:06:51Z
calculator,30081,5499,30081,385,C++,"['C++', 'C#', 'C', 'PowerShell', 'Shell']",2019-01-28T17:55:49Z,2025-03-03T20:05:29Z
symfony,30070,9562,30070,806,PHP,"['PHP', 'Twig', 'CSS', 'JavaScript', 'HTML', 'Shell', 'Makefile', 'Hack']",2010-01-04T14:21:21Z,2025-03-03T19:53:02Z
go-zero,30064,4041,30064,319,Go,"['Go', 'Smarty', 'Shell', 'ANTLR', 'TypeScript', 'Makefile', 'Lua', 'Dockerfile']",2020-08-07T15:37:57Z,2025-03-03T21:52:41Z
refine,30061,2371,30061,36,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'HTML', 'Handlebars', 'Shell']",2021-01-20T12:01:32Z,2025-03-03T18:48:22Z
bulletproof-react,30034,2740,30034,38,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Handlebars', 'HTML']",2021-05-30T14:47:16Z,2025-03-03T18:33:48Z
HEAD,30030,1917,30030,28,,[],2016-04-20T20:05:37Z,2025-03-03T19:30:28Z
dokku,30008,1951,30008,58,Shell,"['Shell', 'Go', 'Makefile', 'Python', 'HTML', 'Dockerfile', 'Procfile', 'JavaScript', 'Scala', 'HCL', 'Smarty', 'Java', 'Clojure', 'Ruby', 'SCSS', 'Handlebars', 'PHP']",2013-06-08T10:26:57Z,2025-03-03T19:43:15Z
layui,30006,7409,30006,51,JavaScript,"['JavaScript', 'CSS']",2015-09-22T08:12:03Z,2025-03-03T15:43:55Z
minikube,30001,4945,30001,585,Go,"['Go', 'HTML', 'Shell', 'Makefile', 'JavaScript', 'Dockerfile', 'PowerShell', 'NSIS', 'BitBake', 'SCSS', 'CSS', 'Lua', 'C++', 'PHP', 'NASL', 'Python', 'C']",2016-04-15T22:38:35Z,2025-03-03T19:34:12Z
sharp,29992,1312,29992,132,JavaScript,"['JavaScript', 'C++', 'TypeScript', 'Python', 'Dockerfile', 'Shell', 'C']",2013-08-19T20:24:24Z,2025-03-03T20:46:55Z
webtorrent,29983,2746,29983,77,JavaScript,"['JavaScript', 'Shell']",2013-10-15T08:16:40Z,2025-03-03T21:34:46Z
interactive-coding-challenges,29977,4501,29977,74,Python,"['Python', 'C++']",2015-04-28T21:36:39Z,2025-03-03T21:25:08Z
jsPDF,29910,4715,29910,122,JavaScript,"['JavaScript', 'TypeScript', 'HTML']",2009-12-06T14:56:32Z,2025-03-03T20:58:34Z
Real-ESRGAN,29875,3733,29875,576,Python,['Python'],2021-07-19T03:23:30Z,2025-03-03T21:52:31Z
mpv,29868,2990,29868,947,C,"['C', 'Lua', 'Swift', 'Meson', 'Python', 'Objective-C', 'Shell', 'JavaScript', 'C++', 'PowerShell']",2012-10-13T08:08:44Z,2025-03-03T18:08:34Z
lossless-cut,29862,1425,29862,183,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'SCSS', 'HTML', 'Shell']",2016-10-30T10:49:56Z,2025-03-03T20:32:41Z
stanford_alpaca,29855,4060,29855,189,Python,['Python'],2023-03-10T23:33:09Z,2025-03-03T14:02:58Z
Reactive-Resume,29832,3023,29832,217,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'HTML', 'Dockerfile']",2020-03-25T14:08:22Z,2025-03-03T21:41:20Z
bubbletea,29830,858,29830,109,Go,['Go'],2020-01-10T21:04:03Z,2025-03-03T18:48:03Z
sequelize,29813,4292,29813,956,TypeScript,"['TypeScript', 'JavaScript', 'Shell', 'Batchfile']",2010-07-22T07:11:11Z,2025-03-03T19:54:02Z
vue-cli,29761,6332,29761,1071,JavaScript,"['JavaScript', 'Vue', 'TypeScript', 'Stylus', 'HTML', 'Shell', 'AppleScript']",2015-12-26T23:11:20Z,2025-03-03T19:58:32Z
foundation-sites,29726,5472,29726,60,HTML,"['HTML', 'SCSS', 'JavaScript', 'Shell']",2011-10-13T23:05:42Z,2025-03-03T10:11:00Z
fabric,29709,3050,29709,183,Go,"['Go', 'Svelte', 'Python', 'TypeScript', 'Shell', 'JavaScript', 'CSS', 'Batchfile', 'Nix', 'Dockerfile', 'HTML']",2024-01-03T23:18:31Z,2025-03-03T21:40:11Z
fabric.js,29706,3553,29706,472,JavaScript,"['JavaScript', 'TypeScript', 'Mustache', 'HTML', 'Vue', 'CSS']",2010-06-09T22:24:38Z,2025-03-03T15:32:58Z
editor.js,29642,2122,29642,662,TypeScript,"['TypeScript', 'HTML', 'CSS', 'JavaScript']",2015-11-28T20:56:35Z,2025-03-03T19:52:22Z
stats,29623,949,29623,20,Swift,"['Swift', 'C++', 'Python', 'C', 'Objective-C', 'Makefile', 'Shell']",2019-05-29T19:24:56Z,2025-03-03T20:56:10Z
AI-Expert-Roadmap,29599,2521,29599,22,JavaScript,"['JavaScript', 'Vue', 'Stylus']",2020-10-24T21:49:40Z,2025-03-03T18:58:36Z
influxdb,29593,3588,29593,2090,Rust,"['Rust', 'Shell', 'HTML', 'Python', 'Dockerfile', 'HCL']",2013-09-26T14:31:10Z,2025-03-03T20:06:39Z
servo,29584,3100,29584,3249,Rust,"['Rust', 'HTML', 'Python', 'WebIDL', 'JavaScript', 'CSS', 'PostScript', 'Java', 'Shell', 'TypeScript', 'Nix', 'Mako', 'Kotlin', 'C', 'Makefile', 'IDL', 'CMake', 'Common Lisp', 'Batchfile', 'Ruby', 'RenderScript']",2012-02-08T19:07:25Z,2025-03-03T20:55:03Z
leakcanary,29578,3976,29578,110,Kotlin,"['Kotlin', 'Java', 'Shell', 'AIDL']",2015-04-29T23:54:16Z,2025-03-03T11:31:17Z
hutool,29576,7574,29576,4,Java,"['Java', 'Shell', 'HTML', 'JavaScript', 'FreeMarker', 'Velocity Template Language']",2014-04-13T07:23:51Z,2025-03-03T20:05:55Z
kafka,29564,14212,29564,265,Java,"['Java', 'Scala', 'Python', 'Shell', 'Roff', 'Batchfile', 'Dockerfile', 'XSLT', 'HTML']",2011-08-15T18:06:16Z,2025-03-03T21:23:23Z
uppy,29550,2033,29550,157,TypeScript,"['TypeScript', 'JavaScript', 'SCSS', 'Svelte', 'HTML', 'Shell', 'Makefile', 'Dockerfile', 'Vue']",2015-11-16T12:32:33Z,2025-03-03T21:18:53Z
netron,29532,2854,29532,23,JavaScript,"['JavaScript', 'Python', 'HTML', 'Shell', 'CSS']",2010-12-26T12:53:43Z,2025-03-03T16:51:36Z
project-guidelines,29521,3218,29521,15,JavaScript,['JavaScript'],2017-06-30T10:17:55Z,2025-03-03T19:52:37Z
react-boilerplate,29512,6121,29512,128,JavaScript,"['JavaScript', 'HTML']",2015-02-18T14:36:32Z,2025-03-03T20:47:25Z
phantomjs,29487,5750,29487,14,C++,"['C++', 'JavaScript', 'C', 'Python', 'HTML', 'Shell', 'CMake', 'CSS']",2010-12-27T08:18:58Z,2025-03-03T17:03:16Z
comprehensive-rust,29461,1753,29461,132,Rust,"['Rust', 'JavaScript', 'Assembly', 'Handlebars', 'TypeScript', 'Shell', 'C', 'AIDL', 'Makefile', 'CSS', 'Java']",2022-12-21T15:17:24Z,2025-03-03T21:48:23Z
OpenAPI-Specification,29441,9110,29441,186,Markdown,"['Markdown', 'JavaScript', 'HTML', 'Shell', 'CSS', 'PowerShell']",2014-03-03T16:53:36Z,2025-03-03T20:02:07Z
backstage,29433,6307,29433,507,TypeScript,"['TypeScript', 'MDX', 'JavaScript', 'CSS', 'Handlebars', 'Mustache', 'SCSS', 'Dockerfile', 'HTML', 'Shell', 'Makefile', 'HCL', 'PowerShell']",2020-01-24T22:39:49Z,2025-03-03T21:28:53Z
500lines,29412,5869,29412,61,JavaScript,"['JavaScript', 'Python', 'Haskell', 'Ruby', 'Clojure', 'Erlang', 'Jupyter Notebook', 'TeX', 'Java', 'Common Lisp', 'HTML', 'Alloy', 'Julia', 'Lua', 'LiveScript', 'Makefile', 'CSS', 'Shell', 'CoffeeScript']",2013-11-04T02:02:53Z,2025-03-03T19:56:00Z
directus,29398,4086,29398,499,TypeScript,"['TypeScript', 'Vue', 'SCSS', 'Liquid', 'CSS', 'JavaScript', 'Dockerfile', 'HTML']",2012-12-12T01:35:36Z,2025-03-03T18:19:51Z
ruoyi-vue-pro,29394,6355,29394,20,Java,"['Java', 'PLpgSQL', 'TSQL', 'Python', 'Shell', 'Dockerfile']",2021-01-24T03:18:25Z,2025-03-03T17:02:08Z
Mr.-Ranedeer-AI-Tutor,29385,3369,29385,14,,[],2023-03-31T12:37:26Z,2025-03-03T15:14:06Z
roop,29383,6640,29383,7,Python,['Python'],2023-05-28T14:37:54Z,2025-03-03T20:38:49Z
tqdm,29373,1374,29373,556,Python,"['Python', 'Jupyter Notebook', 'Roff', 'Makefile', 'Shell']",2015-06-03T13:13:14Z,2025-03-03T16:29:22Z
particles.js,29355,4844,29355,360,JavaScript,['JavaScript'],2014-09-06T14:29:47Z,2025-03-03T21:50:54Z
apollo,29350,10230,29350,144,Java,"['Java', 'HTML', 'JavaScript', 'Shell', 'CSS', 'Dockerfile', 'Batchfile']",2016-03-04T10:24:23Z,2025-03-03T05:53:37Z
GPTs,29346,3986,29346,8,,[],2023-11-11T03:24:16Z,2025-03-03T21:10:43Z
Hover,29333,5764,29333,42,SCSS,"['SCSS', 'Less', 'HTML', 'CSS', 'JavaScript']",2014-01-02T14:27:35Z,2025-03-03T18:53:32Z
awesome-macos-command-line,29287,1436,29287,0,,[],2015-09-22T19:37:55Z,2025-03-03T19:43:45Z
paper-reading,29281,2588,29281,2,,[],2021-10-22T06:34:51Z,2025-03-03T15:03:50Z
standard,29273,2313,29273,126,JavaScript,"['JavaScript', 'Shell']",2015-01-27T01:23:31Z,2025-03-03T16:46:10Z
es6features,29229,2862,29229,39,,[],2014-03-03T18:29:30Z,2025-03-03T20:47:05Z
rocksdb,29227,6424,29227,1121,C++,"['C++', 'Java', 'Starlark', 'C', 'Python', 'Perl', 'Shell', 'Makefile', 'CMake', 'PowerShell', 'Assembly', 'BitBake', 'Dockerfile']",2012-11-30T06:16:18Z,2025-03-03T15:17:37Z
algo,29215,2338,29215,191,Jinja,"['Jinja', 'Python', 'Shell', 'Dockerfile', 'Makefile']",2016-05-15T03:42:48Z,2025-03-03T17:25:03Z
data-engineering-zoomcamp,29196,6212,29196,6,Jupyter Notebook,"['Jupyter Notebook', 'Python', 'Java', 'Dockerfile', 'Shell', 'HCL']",2021-10-21T09:32:50Z,2025-03-03T21:26:53Z
alpine,29176,1271,29176,35,HTML,"['HTML', 'JavaScript']",2019-11-28T13:51:55Z,2025-03-03T20:22:06Z
awesome-python-cn,29148,7959,29148,23,Makefile,['Makefile'],2015-11-03T09:50:50Z,2025-03-03T15:55:01Z
MonitorControl,29147,840,29147,6,Swift,"['Swift', 'Objective-C']",2017-09-16T21:13:40Z,2025-03-03T20:27:42Z
cheerio,29140,1662,29140,40,TypeScript,"['TypeScript', 'HTML', 'JavaScript', 'CSS', 'MDX']",2011-10-09T04:23:20Z,2025-03-03T21:43:33Z
COVID-19,29088,18333,29088,1961,,[],2020-02-04T22:03:53Z,2025-03-02T22:55:04Z
pytorch-lightning,29068,3443,29068,946,Python,"['Python', 'Shell', 'Dockerfile', 'Makefile']",2019-03-31T00:45:57Z,2025-03-03T15:51:33Z
folly,29048,5641,29048,354,C++,"['C++', 'Python', 'Starlark', 'CMake', 'C', 'Cython', 'Shell', 'Assembly', 'Ruby', 'GDB', 'Batchfile', 'Makefile', 'CSS', 'Verilog']",2012-06-01T20:49:04Z,2025-03-03T19:58:29Z
puter,29030,2065,29030,170,JavaScript,"['JavaScript', 'CSS', 'HTML', 'Shell', 'Dockerfile', 'C++', 'WebAssembly', 'C']",2024-03-03T01:44:32Z,2025-03-03T21:28:35Z
tiptap,29029,2399,29029,555,TypeScript,"['TypeScript', 'JavaScript', 'Shell']",2018-08-20T19:58:58Z,2025-03-03T21:47:31Z
CheatSheetSeries,28987,4053,28987,52,Python,"['Python', 'Shell', 'HTML', 'Java', 'Makefile', 'Dockerfile']",2018-12-21T14:26:43Z,2025-03-03T21:01:31Z
weekly,28974,3255,28974,2,JavaScript,['JavaScript'],2017-03-20T06:10:04Z,2025-03-03T14:05:36Z
swift-algorithm-club,28971,5000,28971,61,Swift,"['Swift', 'Shell', 'Objective-C', 'C']",2016-01-26T17:56:12Z,2025-03-03T20:47:48Z
numpy,28954,10521,28954,2215,Python,"['Python', 'C', 'C++', 'Cython', 'Meson', 'Fortran', 'Shell', 'sed', 'Smarty', 'Starlark', 'Makefile']",2010-09-13T23:02:39Z,2025-03-03T20:43:01Z
Data-Science-For-Beginners,28943,5988,28943,57,Jupyter Notebook,"['Jupyter Notebook', 'Vue', 'HTML', 'JavaScript']",2021-03-03T16:30:15Z,2025-03-03T21:34:43Z
k3s,28931,2393,28931,138,Go,"['Go', 'Shell', 'HCL', 'Ruby', 'Dockerfile', 'Makefile']",2018-05-31T01:37:46Z,2025-03-03T21:38:45Z
django-rest-framework,28865,6900,28865,98,Python,"['Python', 'HTML', 'CSS', 'JavaScript']",2011-03-02T17:13:56Z,2025-03-03T21:14:15Z
canal,28861,7640,28861,1158,Java,"['Java', 'Vue', 'JavaScript', 'Shell', 'PLpgSQL', 'SCSS', 'Dockerfile', 'HTML', 'Batchfile', 'Smarty', 'Python', 'CSS']",2013-01-13T10:59:52Z,2025-03-03T20:10:54Z
docsify,28860,5717,28860,185,JavaScript,"['JavaScript', 'CSS', 'Shell', 'Dockerfile']",2016-11-20T07:55:43Z,2025-03-03T14:40:58Z
croc,28858,1144,28858,7,Go,"['Go', 'Shell', 'Makefile', 'Dockerfile']",2017-10-17T15:20:18Z,2025-03-03T21:53:39Z
composer,28857,4600,28857,126,PHP,['PHP'],2011-06-08T08:53:00Z,2025-03-03T19:31:37Z
css-protips,28832,2183,28832,12,,[],2015-08-29T12:29:03Z,2025-03-03T14:05:37Z
cobalt,28824,2350,28824,151,Svelte,"['Svelte', 'JavaScript', 'TypeScript', 'HTML', 'Dockerfile']",2022-07-08T18:12:55Z,2025-03-03T21:25:38Z
surrealdb,28812,964,28812,736,Rust,"['Rust', 'Nix', 'Dockerfile', 'Makefile', 'Shell', 'DTrace']",2021-12-09T15:03:29Z,2025-03-03T21:32:41Z
mediapipe,28799,5261,28799,523,C++,"['C++', 'Python', 'Starlark', 'Java', 'Objective-C', 'Objective-C++', 'TypeScript', 'C', 'Swift', 'Shell', 'JavaScript', 'HTML', 'Dockerfile', 'Makefile', 'Batchfile']",2019-06-13T19:16:41Z,2025-03-03T20:43:14Z
lux,28783,3081,28783,514,Go,"['Go', 'JavaScript']",2018-02-24T11:29:03Z,2025-03-03T20:24:50Z
k9s,28775,1805,28775,650,Go,"['Go', 'Makefile', 'Shell', 'Dockerfile']",2019-01-25T18:46:02Z,2025-03-03T21:17:15Z
fish-shell,28774,2005,28774,459,Rust,"['Rust', 'Shell', 'Python', 'CMake', 'JavaScript', 'HTML', 'CSS', 'C', 'Dockerfile', 'Objective-C', 'Makefile', 'Roff']",2012-05-10T03:00:55Z,2025-03-03T21:26:49Z
CasaOS,28771,1559,28771,606,Go,"['Go', 'Shell', 'HTML', 'Makefile']",2021-09-26T02:33:09Z,2025-03-03T21:31:18Z
server,28760,4194,28760,2583,PHP,"['PHP', 'JavaScript', 'Vue', 'TypeScript', 'Gherkin', 'SCSS', 'Shell', 'HTML', 'CSS', 'Handlebars', 'Dockerfile', 'Makefile']",2016-06-02T07:44:14Z,2025-03-03T19:57:22Z
lighthouse,28750,9475,28750,607,JavaScript,"['JavaScript', 'CSS', 'TypeScript', 'Shell', 'HTML', 'Handlebars', 'Python']",2016-03-08T01:03:11Z,2025-03-03T20:06:49Z
consul,28741,4448,28741,1290,Go,"['Go', 'MDX', 'SCSS', 'JavaScript', 'Handlebars', 'Shell', 'Gherkin', 'HCL', 'Makefile', 'Dockerfile', 'HTML']",2013-11-04T22:15:27Z,2025-03-03T19:20:57Z
todomvc,28735,13761,28735,166,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Shell']",2011-06-03T19:56:33Z,2025-03-03T19:53:18Z
Hello-Python,28729,1864,28729,49,Python,['Python'],2022-08-03T17:14:53Z,2025-03-03T20:02:00Z
python-guide,28708,5860,28708,114,Batchfile,"['Batchfile', 'Makefile']",2011-03-15T03:24:20Z,2025-03-03T21:52:51Z
postcss,28674,1573,28674,26,TypeScript,"['TypeScript', 'JavaScript']",2013-09-24T23:06:48Z,2025-03-03T15:06:10Z
SpringAll,28628,8178,28628,34,Java,"['Java', 'HTML', 'CSS', 'PLpgSQL', 'JavaScript']",2018-05-02T02:48:44Z,2025-03-03T15:37:19Z
slick,28607,5876,28607,1403,JavaScript,"['JavaScript', 'HTML', 'SCSS', 'Less', 'CSS', 'Ruby', 'Makefile']",2014-03-24T02:10:05Z,2025-03-03T05:54:28Z
linkedin-skill-assessments-quizzes,28588,13251,28588,84,,[],2019-07-13T19:52:56Z,2025-03-03T19:58:30Z
react-spring,28509,1200,28509,117,TypeScript,"['TypeScript', 'JavaScript', 'Shell', 'CSS', 'HTML']",2018-03-07T15:39:32Z,2025-03-03T16:28:53Z
aider,28506,2587,28506,643,Python,"['Python', 'Shell', 'Scheme', 'JavaScript', 'PowerShell', 'HTML', 'Dockerfile', 'SCSS', 'Ruby']",2023-05-09T18:57:49Z,2025-03-03T21:05:13Z
handson-ml2,28482,12923,28482,226,Jupyter Notebook,"['Jupyter Notebook', 'Python', 'Dockerfile', 'Shell', 'Makefile']",2019-01-08T03:49:07Z,2025-03-03T20:48:10Z
vuex,28458,9561,28458,144,JavaScript,"['JavaScript', 'TypeScript']",2015-07-16T04:21:26Z,2025-03-03T17:57:29Z
Free-Certifications,28440,2103,28440,42,,[],2020-07-31T10:26:19Z,2025-03-03T21:36:45Z
llama3,28428,3297,28428,204,Python,"['Python', 'Shell']",2024-03-15T17:57:00Z,2025-03-03T20:01:26Z
machine-learning-for-software-engineers,28381,6223,28381,31,,[],2016-10-09T21:20:25Z,2025-03-03T13:31:28Z
UTM,28379,1410,28379,904,Swift,"['Swift', 'Objective-C', 'Shell', 'C', 'Python']",2019-04-12T16:09:24Z,2025-03-03T21:43:13Z
xxl-job,28374,11091,28374,826,Java,"['Java', 'Dockerfile']",2015-11-28T12:59:34Z,2025-03-03T20:05:56Z
plyr,28369,3050,28369,916,JavaScript,"['JavaScript', 'SCSS']",2015-02-14T11:33:07Z,2025-03-03T19:07:54Z
android_guides,28357,6336,28357,162,,[],2013-06-19T10:24:45Z,2025-03-03T14:43:44Z
Clone-Wars,28351,2519,28351,20,,[],2020-12-02T11:10:16Z,2025-03-03T15:52:06Z
react-three-fiber,28292,1651,28292,67,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'HTML', 'Shell']",2019-02-25T14:31:51Z,2025-03-03T19:31:43Z
spring-cloud-alibaba,28265,8371,28265,277,Java,"['Java', 'HTML', 'Shell', 'Dockerfile', 'JavaScript']",2017-12-01T20:49:15Z,2025-03-03T18:03:58Z
async,28233,2406,28233,10,JavaScript,"['JavaScript', 'CSS', 'Shell', 'Makefile']",2010-06-01T21:01:30Z,2025-03-03T18:45:44Z
trilium,28183,1918,28183,908,JavaScript,"['JavaScript', 'CSS', 'EJS', 'Shell', 'HTML', 'Batchfile', 'Dockerfile']",2017-05-23T00:30:20Z,2025-03-03T19:59:55Z
tinygrad,28177,3216,28177,166,Python,"['Python', 'C', 'C++', 'Assembly', 'Shell', 'HTML', 'Objective-C++', 'JavaScript', 'Objective-C', 'Dockerfile', 'Swift']",2020-10-18T16:23:12Z,2025-03-03T21:44:09Z
JavaScript30,28157,38880,28157,58,HTML,"['HTML', 'CSS', 'JavaScript']",2016-12-07T19:15:31Z,2025-03-03T15:29:22Z
cursor,28150,1753,28150,1435,,[],2023-03-12T00:19:42Z,2025-03-03T21:09:41Z
