name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
union,34629,2029,34629,279,Rust,"['Rust', 'Move', 'TypeScript', 'Svelte', 'Solidity', 'Nix', 'Go', 'Astro', 'JavaScript', 'PLpgSQL', 'CSS', 'HTML', 'WebAssembly', 'Shell', 'RenderScript']",2023-05-16T22:33:39Z,2025-03-03T21:53:10Z
vim-plug,34587,1926,34587,82,Vim Script,"['Vim Script', 'Shell']",2013-09-10T14:58:51Z,2025-03-03T21:33:43Z
TaskMatrix,34537,3303,34537,257,Python,"['Python', 'HTML', 'Dockerfile']",2023-03-02T09:04:28Z,2025-03-03T20:12:28Z
HanLP,34506,10391,34506,12,Python,"['Python', 'Jupyter Notebook', 'Java']",2014-10-09T06:36:16Z,2025-03-03T16:00:02Z
node-v0.x-archive,34417,7301,34417,0,,[],2009-05-27T16:29:46Z,2025-03-03T20:09:36Z
cal.com,34317,8745,34317,1071,TypeScript,"['TypeScript', 'CSS', 'HTML', 'JavaScript', 'MDX', 'Shell', 'Dockerfile', 'PLpgSQL', 'PHP', 'Procfile']",2021-03-22T13:47:42Z,2025-03-03T21:11:32Z
caffe,34246,18647,34246,1187,C++,"['C++', 'Python', 'Cuda', 'CMake', 'MATLAB', 'Makefile', 'Shell', 'Dockerfile']",2013-09-12T18:39:48Z,2025-03-03T06:49:39Z
formik,34163,2799,34163,824,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell']",2017-06-14T19:50:59Z,2025-03-03T19:55:59Z
clipboard.js,34120,3971,34120,13,JavaScript,"['JavaScript', 'TypeScript', 'Shell']",2015-09-18T23:04:55Z,2025-03-03T09:09:00Z
nushell,34093,1752,34093,1504,Rust,"['Rust', 'Nushell', 'Python', 'Dockerfile', 'Shell', 'PowerShell', 'Batchfile']",2019-05-10T16:59:42Z,2025-03-03T21:33:17Z
awesome-javascript,34015,4451,34015,14,,[],2014-07-01T15:59:02Z,2025-03-03T08:46:27Z
marked,34008,3415,34008,20,TypeScript,"['TypeScript', 'JavaScript', 'HTML']",2011-07-24T13:15:51Z,2025-03-03T20:53:26Z
12306,33998,9784,33998,281,Python,"['Python', 'Shell', 'Dockerfile']",2017-05-17T12:23:40Z,2025-03-03T15:31:25Z
spacedrive,33994,1027,33994,118,TypeScript,"['TypeScript', 'Rust', 'SCSS', 'JavaScript', 'Shell', 'CSS', 'PowerShell', 'Swift', 'Dockerfile', 'Mustache', 'Ruby', 'Objective-C', 'HTML', 'Kotlin', 'C', 'Java', 'RenderScript']",2021-09-27T05:09:04Z,2025-03-03T21:48:20Z
gold-miner,33967,5035,33967,6,,[],2015-11-04T03:29:13Z,2025-03-03T10:40:46Z
REKCARC-TSC-UHT,33933,7677,33933,1,HTML,"['HTML', 'C', 'C++', 'Verilog', 'Jupyter Notebook', 'Assembly', 'Java', 'Python', 'CSS', 'MATLAB', 'Makefile', 'TeX', 'JavaScript', 'Roff', 'Stata', 'Shell', 'Yacc', 'PHP', 'Hack', 'Cuda', 'QMake', 'Lex', 'SystemVerilog', 'Batchfile', 'M', 'Perl', 'C#', 'VHDL', 'ShaderLab', 'Mathematica']",2019-04-05T03:31:23Z,2025-03-03T20:16:55Z
node,33881,498,33881,7,Shell,['Shell'],2024-05-13T23:20:40Z,2025-03-03T21:51:00Z
Langchain-Chatchat,33861,5757,33861,217,TypeScript,"['TypeScript', 'Python', 'MDX', 'Shell', 'JavaScript', 'Dockerfile', 'Makefile']",2023-03-31T12:12:45Z,2025-03-03T19:13:48Z
netty,33847,16027,33847,633,Java,"['Java', 'C', 'HTML', 'Shell', 'JavaScript', 'Makefile', 'Groovy', 'Dockerfile', 'CSS']",2010-11-09T09:22:21Z,2025-03-03T20:05:54Z
docs,33833,346,33833,17,MDX,"['MDX', 'TypeScript', 'JavaScript', 'CSS', 'Dockerfile']",2024-05-07T16:49:36Z,2025-03-03T21:51:03Z
awesome-shell,33832,2392,33832,109,,[],2014-07-07T01:57:42Z,2025-03-03T21:34:07Z
jieba,33769,6728,33769,680,Python,"['Python', 'OpenEdge ABL']",2012-09-29T07:52:01Z,2025-03-03T17:14:37Z
react-beautiful-dnd,33705,2671,33705,643,JavaScript,"['JavaScript', 'HTML']",2017-08-09T03:37:15Z,2025-03-03T19:46:00Z
ink-kit,33679,335,33679,2,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'MDX', 'HTML']",2024-11-04T16:32:17Z,2025-03-03T21:51:01Z
shadowsocks,33604,18534,33604,449,Python,"['Python', 'Shell']",2012-04-20T13:10:49Z,2025-03-02T12:40:14Z
AndroidUtilCode,33474,10707,33474,317,Java,"['Java', 'Kotlin', 'Groovy', 'Shell']",2016-07-30T18:18:32Z,2025-03-03T20:48:00Z
sqlmap,33449,5804,33449,66,Python,"['Python', 'C', 'Shell', 'HTML', 'Perl', 'C++', 'PLpgSQL', 'TSQL', 'PLSQL']",2012-06-26T09:52:15Z,2025-03-03T18:53:37Z
spring-boot-demo,33440,10945,33440,138,Java,"['Java', 'HTML', 'TSQL', 'PLpgSQL', 'Lua', 'FreeMarker', 'Dockerfile']",2017-11-10T06:27:29Z,2025-03-03T15:37:37Z
faiss,33391,3777,33391,264,C++,"['C++', 'Python', 'Cuda', 'C', 'CMake', 'Shell', 'Jupyter Notebook', 'Batchfile', 'Dockerfile']",2017-02-07T16:07:05Z,2025-03-03T21:10:39Z
LeetCode-Go,33369,5757,33369,20,Go,"['Go', 'HTML', 'SCSS', 'CSS', 'JavaScript', 'Python', 'Shell']",2017-07-18T00:06:14Z,2025-03-03T21:16:42Z
AFNetworking,33354,10443,33354,103,Objective-C,"['Objective-C', 'Swift', 'Ruby', 'C', 'Shell']",2011-05-31T21:28:44Z,2025-03-03T20:53:52Z
windows,33344,2325,33344,23,Shell,"['Shell', 'Dockerfile']",2024-01-14T13:09:40Z,2025-03-03T21:12:56Z
pytorch-image-models,33341,4857,33341,70,Python,"['Python', 'MDX', 'Shell']",2019-02-02T05:51:12Z,2025-03-03T21:41:27Z
framework,33250,11239,33250,63,PHP,"['PHP', 'Blade', 'Shell', 'CSS', 'JavaScript', 'Hack']",2013-01-10T21:27:28Z,2025-03-03T19:43:46Z
brackets,33238,7609,33238,2783,JavaScript,"['JavaScript', 'HTML', 'Less', 'CSS', 'PHP', 'Shell', 'Ruby', 'SCSS', 'Batchfile', 'Hack', 'Makefile', 'Handlebars', 'Clojure']",2011-12-07T21:14:40Z,2025-03-03T19:36:51Z
unsloth,33189,2232,33189,838,Python,['Python'],2023-11-29T16:50:09Z,2025-03-03T21:07:37Z
XX-Net,33176,7673,33176,7903,Python,"['Python', 'HTML', 'CSS', 'JavaScript', 'Shell', 'VBScript', 'Batchfile', 'C']",2015-01-15T09:35:51Z,2025-03-03T06:09:18Z
husky,33168,1046,33168,76,JavaScript,"['JavaScript', 'Shell']",2014-06-23T12:14:21Z,2025-03-03T19:29:18Z
easyexcel,33149,7614,33149,541,Java,['Java'],2018-02-06T03:14:08Z,2025-03-03T20:05:56Z
